Member_number,Date,itemDescription,Day,Season,Vacation
100000000,21/07/2015,tropical fruit,Sun,Winter,Yes
2552,5/01/2015,whole milk,Mon,Summer,No
2300,19/09/2015,pip fruit,Tue,Summer,No
-1000000,12/12/2015,other vegetables,Wed,Summer,No
3037,1/02/2015,whole milk,Thu,Summer,No
4941,14/02/2015,rolls/buns,Fri,Summer,No
4501,8/05/2015,other vegetables,Sat,Summer,No
3803,23/12/2015,pot plants,Sun,Summer,No
2762,20/03/2015,whole milk,Mon,Summer,No
4119,12/02/2015,tropical fruit,Tue,Summer,No
1340,24/02/2015,citrus fruit,Wed,Summer,No
2193,14/04/2015,beef,Thu,Summer,No
1997,21/07/2015,frankfurter,Fri,Summer,No
4546,3/09/2015,chicken,Sat,Summer,No
4736,21/07/2015,butter,Sun,Summer,No
1959,30/03/2015,fruit/vegetable juice,Mon,Summer,No
1974,3/05/2015,packaged fruit/vegetables,Tue,Summer,No
2421,2/09/2015,chocolate,Wed,Summer,No
1513,3/08/2015,specialty bar,Thu,Summer,No
1905,7/07/2015,other vegetables,Fri,Summer,No
2810,8/09/2015,butter milk,Sat,Summer,No
2867,12/11/2015,whole milk,Sun,Summer,No
3962,18/09/2015,tropical fruit,Mon,Winter,No
1088,30/11/2015,tropical fruit,Tue,Winter,No
4976,17/07/2015,bottled water,Wed,Winter,No
4056,12/06/2015,yogurt,Thu,Winter,No
3611,13/02/2015,sausage,Fri,Winter,No
1420,14/01/2015,other vegetables,Sat,Winter,Yes
4286,8/03/2015,brown bread,Sun,Winter,Yes
4918,27/01/2015,yogurt,Mon,Winter,Yes
4783,22/10/2015,hamburger meat,Tue,Winter,Yes
3709,26/10/2015,root vegetables,Wed,Winter,Yes
4289,8/10/2015,pork,Thu,Winter,Yes
1559,3/10/2015,beef,Fri,Winter,Yes
2900,11/04/2015,pastry,Sat,Winter,Yes
1905,21/02/2015,fruit/vegetable juice,Sun,Winter,Yes
3527,29/09/2015,canned beer,Mon,Winter,Yes
1495,9/01/2015,root vegetables,Tue,Winter,Yes
3558,3/04/2015,citrus fruit,Wed,Winter,Yes
3128,20/04/2015,sausage,Thu,Winter,Yes
1863,4/08/2015,tropical fruit,Fri,Winter,Yes
3841,19/07/2015,berries,Sat,Winter,Yes
3903,6/10/2015,canned beer,Sun,Winter,Yes
2658,16/10/2015,butter milk,Mon,Winter,Yes
4272,6/06/2015,coffee,Tue,Winter,Yes
